   0: t=0.000s
   1: t=0.003s
   2: t=0.005s
   3: t=0.007s
   4: t=0.010s
   5: t=0.013s
   6: t=0.015s
   7: t=0.018s
   8: t=0.020s
   9: t=0.022s
  10: t=0.025s
  11: t=0.027s
  12: t=0.030s
  13: t=0.032s
  14: t=0.035s
  15: t=0.037s
  16: t=0.040s
  17: t=0.043s
  18: t=0.045s
  19: t=0.048s
  20: t=0.050s
  21: t=0.053s
  22: t=0.055s
  23: t=0.058s
  24: t=0.060s
  25: t=0.063s
  26: t=0.065s
  27: t=0.068s
  28: t=0.070s
  29: t=0.073s
  30: t=0.075s
  31: t=0.078s
  32: t=0.080s
  33: t=0.083s
  34: t=0.085s
  35: t=0.088s
  36: t=0.090s
  37: t=0.093s
  38: t=0.095s
  39: t=0.098s
  40: t=0.100s
  41: t=0.103s
  42: t=0.105s
  43: t=0.108s
  44: t=0.110s
  45: t=0.113s
  46: t=0.115s
  47: t=0.118s
  48: t=0.120s
  49: t=0.123s
  50: t=0.125s
  51: t=0.128s
  52: t=0.130s
  53: t=0.133s
  54: t=0.135s
  55: t=0.138s
  56: t=0.140s
  57: t=0.143s
  58: t=0.145s
  59: t=0.148s
  60: t=0.150s
  61: t=0.153s
  62: t=0.155s
  63: t=0.158s
  64: t=0.160s
  65: t=0.163s
  66: t=0.165s
  67: t=0.168s
  68: t=0.170s
  69: t=0.173s
  70: t=0.175s
  71: t=0.178s
  72: t=0.180s
  73: t=0.183s
  74: t=0.185s
  75: t=0.188s
  76: t=0.190s
  77: t=0.193s
  78: t=0.195s
  79: t=0.198s
  80: t=0.200s
  81: t=0.203s
  82: t=0.205s
  83: t=0.208s
  84: t=0.210s
  85: t=0.213s
  86: t=0.215s
  87: t=0.218s
  88: t=0.220s
  89: t=0.223s
  90: t=0.225s
  91: t=0.228s
  92: t=0.230s
  93: t=0.233s
  94: t=0.235s
  95: t=0.238s
  96: t=0.240s
  97: t=0.243s
  98: t=0.245s
  99: t=0.248s
 100: t=0.250s
 101: t=0.253s
 102: t=0.255s
 103: t=0.258s
 104: t=0.260s
 105: t=0.263s
 106: t=0.265s
 107: t=0.268s
 108: t=0.270s
 109: t=0.273s
 110: t=0.275s
 111: t=0.278s
 112: t=0.280s
 113: t=0.283s
 114: t=0.285s
 115: t=0.288s
 116: t=0.290s
 117: t=0.293s
 118: t=0.295s
 119: t=0.298s
 120: t=0.300s
 121: t=0.303s
 122: t=0.305s
 123: t=0.308s
 124: t=0.310s
 125: t=0.313s
 126: t=0.315s
 127: t=0.318s
 128: t=0.320s
 129: t=0.323s
 130: t=0.325s
 131: t=0.328s
 132: t=0.330s
 133: t=0.333s
 134: t=0.335s
 135: t=0.338s
 136: t=0.340s
 137: t=0.343s
 138: t=0.345s
 139: t=0.348s
 140: t=0.350s
 141: t=0.353s
 142: t=0.355s
 143: t=0.358s
 144: t=0.360s
 145: t=0.363s
 146: t=0.365s
 147: t=0.368s
 148: t=0.370s
 149: t=0.373s
 150: t=0.375s
 151: t=0.378s
 152: t=0.380s
 153: t=0.383s
 154: t=0.385s
 155: t=0.388s
 156: t=0.390s
 157: t=0.393s
 158: t=0.395s
 159: t=0.398s
 160: t=0.400s
 161: t=0.403s
 162: t=0.405s
 163: t=0.408s
 164: t=0.410s
 165: t=0.413s
 166: t=0.415s
 167: t=0.418s
 168: t=0.420s
 169: t=0.423s
 170: t=0.425s
 171: t=0.428s
 172: t=0.430s
 173: t=0.433s
 174: t=0.435s
 175: t=0.438s
 176: t=0.440s
 177: t=0.443s
 178: t=0.445s
 179: t=0.448s
 180: t=0.450s
 181: t=0.453s
 182: t=0.455s
 183: t=0.458s
 184: t=0.460s
 185: t=0.463s
 186: t=0.465s
 187: t=0.468s
 188: t=0.470s
 189: t=0.473s
 190: t=0.475s
 191: t=0.478s
 192: t=0.480s
 193: t=0.483s
 194: t=0.485s
 195: t=0.488s
 196: t=0.490s
 197: t=0.493s
 198: t=0.495s
 199: t=0.498s
 200: t=0.500s
 201: t=0.503s
 202: t=0.505s
 203: t=0.508s
 204: t=0.510s
 205: t=0.513s
 206: t=0.515s
 207: t=0.517s
 208: t=0.520s
 209: t=0.522s
 210: t=0.525s
 211: t=0.527s
 212: t=0.530s
 213: t=0.532s
 214: t=0.535s
 215: t=0.537s
 216: t=0.540s
 217: t=0.542s
 218: t=0.545s
 219: t=0.547s
 220: t=0.550s
 221: t=0.552s
 222: t=0.555s
 223: t=0.557s
 224: t=0.560s
 225: t=0.562s
 226: t=0.565s
 227: t=0.567s
 228: t=0.570s
 229: t=0.572s
 230: t=0.575s
 231: t=0.577s
 232: t=0.580s
 233: t=0.582s
 234: t=0.585s
 235: t=0.587s
 236: t=0.590s
 237: t=0.592s
 238: t=0.595s
 239: t=0.597s
 240: t=0.600s
