Interval, Average Height
0, 0.25
1, 0.25
2, 0.25
3, 0.25
4, 0.25
5, 0.25
6, 0.25
7, 0.25
8, 0.25
9, 0.25
10, 0.25
11, 0.25
12, 0.25
13, 0.25
14, 0.25
15, 0.25
16, 0.25
17, 0.25
18, 0.25
19, 0.25
20, 0.25
21, 0.25
22, 0.25
23, 0.25
24, 0.25
25, 0.25
26, 0.25
27, 0.25
28, 0.25
29, 0.25
30, 0.25
31, 0.25
32, 0.25
33, 0.25
34, 0.25
35, 0.25
36, 0.25
37, 0.25
38, 0.25
39, 0.25
40, 0.25
41, 0.25
42, 0.25
43, 0.25
44, 0.25
45, 0.25
46, 0.25
47, 0.25
48, 0.25
49, 0.25
50, 0.25
51, 0.25
52, 0.25
53, 0.25
54, 0.25
55, 0.25
56, 0.25
57, 0.25
58, 0.25
59, 0.25
60, 0.25
61, 0.25
62, 0.25
63, 0.25
64, 0.25
65, 0.25
66, 0.25
67, 0.25
68, 0.25
69, 0.25
70, 0.25
71, 0.250006
72, 0.250037
73, 0.2502
74, 0.250868
75, 0.252859
76, 0.256365
77, 0.258029
78, 0.254278
79, 0.249582
80, 0.248459
81, 0.245769
82, 0.235501
83, 0.220746
84, 0.209708
85, 0.190884
86, 0.138407
87, 0.126067
88, 0.123108
89, 0.122959
90, 0.125987
91, 0.118881
92, 0.113106
93, 0.107787
94, 0.090387
95, 0.0867777
96, 0.0850709
97, 0.0808815
98, 0.0716971
99, 0.066226
100, 0.0687405
101, 0.06673
102, 0.0465344
103, 0.0385233
104, 0.0425031
105, 0.0493893
106, 0.0288691
107, 0.0279537
108, 0.0346754
109, 0.0264587
110, 0.0216415
111, 0.0244303
112, 0.019462
113, 0.0161164
114, 0.0135853
115, 0.0105397
116, 0.00680651
117, 0.00650167
118, 0.00496776
120, 0.00500953
121, 0.0103651
122, 0.00344742
123, 0.00247646
125, 0.000915931
126, 0.000708602
